ul.	Dezyderego Chłapowskiego
ul.	Chlebowa
ul.	Chłodna
ul.	Chmielna
ul.	Chmurna
ul.	Chochołowska
ul.	Chociebora
ul.	Chocimska
ul.	Józefa Chociszewskiego
ul.	Chodzieska
ul.	Chojnicka
ul.	Chomęcicka
ul.	Fryderyka Chopina
ul.	Chotomińska
ul.	Chrobacka
most	Bolesława Chrobrego
os.	Bolesława Chrobrego
ul.	Chryzantemowa
ul.	Chrzanowska
ul.	Chwaliszewo
ul.	Marcina Chwiałkowskiego
ul.	Chyżańska
ul.	Ciasna
ul.	Cicha
rondo	Cichowiczów
ul.	Ciechocińska
ul.	Cienista
ul.	Cieplicka
ul.	Augusta Cieszkowskiego
ul.	Cieszymira
ul.	Cieszyńska
ul.	Cisowa
ul.	Cmentarna
ul.	Ćmielowska
ul.	Cybińska
ul.	Wojciecha Cybulskiego
ul.	Pawła Cymsa
ul.	Cynamonowa
ul.	Cyniowa
ul.	Cyprysowa
ul.	Cyraneczki
ul.	Cyrkoniowa
park	Cytadela
al.	Cytadelowców
ul.	Cytrynowa
ul.	Czajcza
ul.	Czapla
ul.	Czaplinecka
ul.	Czarna Rola
park	Władysława Czarneckiego
ul.	Stefana Czarnieckiego
ul.	Czarnkowska
ul.	Czarnohorska
ul.	Czarnucha
ul.	Czartoria
os.	Czecha
ul.	Czechosłowacka
ul.	Antona Czechowa
ul.	Czechowska
ul.	Czekalskie
ul.	Jana Czekanowskiego
ul.	Czekoladowa
ul.	Czeladzka
ul.	Czempińska
ul.	Czeremchowa
ul.	Czereśniowa
ul.	Czernichowska
ul.	Czerniejewska
ul.	Stanisława Czernika
ul.	Czerska
ul.	Bolesława Czerwińskiego
ul.	św. Czesława
ul.	Cześnikowska
ul.	Częstochowska
ul.	Człopska
ul.	Człuchowska
ul.	Czorsztyńska
ul.	Czwartaków
ul.	Czysta
ul.	Dąbrówki
park	Generała Henryka Dąbrowskiego
ul.	Jana Henryka Dąbrowskiego
ul.	Daktylowa
ul.	Daleka
ul.	Dalemińska
ul.	Daliowa
ul.	Danuty
ul.	Anny Danysz
ul.	Darłowska
ul.	Darniowa
ul.	Darzyborska
ul.	Darzyńska
ul.	Daszewicka
ul.	Ignacego Daszyńskiego
ul.	Dębicka
os.	Dębina
most	Dębiński
ul.	Dęblińska
ul.	Dębowa
ul.	Dedala
pl.	Wiktora Degi
ul.	Edwarda Dembowskiego
ul.	Dereniowa
ul.	Deszczowa
ul.	Szczęsnego Dettloffa
ul.	Diamentowa
ul.	Karola Dickensa
ul.	Długa
ul.	Jana Długosza
ul.	Romana Dmowskiego
ul.	Dniestrzańska
ul.	Do Alei
ul.	Dobiegniewska
ul.	Dobra
ul.	Dobrepole
ul.	Dobrochny
ul.	Dobrodzieńska
ul.	Ignacego Dobrogojskiego
ul.	Dobromiejska
ul.	Dobromiły
ul.	Dobrowita
ul.	Gieorgija Dobrowolskiego
ul.	Mikołaja Dobrzyckiego
ul.	Dojazd
ul.	Dolina
ul.	Dolna
ul.	Dolna Wilda
ul.	Dolne Chyby
ul.	Dolska
ul.	Ignacego Domeyki
ul.	Dominikańska
ul.	Józefa Dowbora-Muśnickiego
ul.	Dożynkowa
ul.	Drawska
ul.	Drewlańska
ul.	Romana Drewsa
ul.	Drobna
ul.	Tomasza Drobnika
ul.	Droga Dębińska
ul.	Drogocin
ul.	Drogowców
ul.	Druskienicka
ul.	Elżbiety Drużbackiej
ul.	Kaspra Drużbickiego
ul.	Drużynowa
ul.	Drwali
park	Jarogniewa i Izabeli Drwęskich
ul.	Jarogniewa Drwęskiego
ul.	Conrada Drzewieckiego
ul.	Stefana Drzewieckiego
ul.	Michała Drzymały
ul.	Dukielska
ul.	Dunajecka
ul.	Xawerego Dunikowskiego
ul.	Dusznicka
ul.	Dwatory
ul.	Dworcowa
most	Dworcowy
ul.	Dworkowa
ul.	Dworska
skwer	Włodzimierza Dworzaczka
ul.	Benedykta Tadeusza Dybowskiego
ul.	Stanisława Dygata
ul.	abpa Walentego Dymka
