"WYKAZ ULIC UKŁADU UZUPEŁNIAJĄCEGO",,,,,,
"Lp.","Ulica","dzielnica","kategoria","Długość [m]","Przebieg od","Przebieg do"
"494","Grześkiewicza Adama","Wilda","gminna","94",,
"495","Grzmota-Skotnickiego Stanisława","Stare Miasto","gminna","105",,
"496","Grzybowa","Wilda","gminna","185",,
"497","Gubińska","Grunwald","gminna","140",,
"498","Guliwera","Grunwald","gminna","102",,
"499","Gwarna","Stare Miasto","powiatowa","87",,
"500","Gwiaździsta","Grunwald","gminna","468",,
"501","Haber-Włyńskiego Adama","Jeżyce","gminna","196",,
"502","Hajduczka","Grunwald","gminna","167",,
"503","Haliny","Nowe Miasto","gminna","475",,
"504","Hallera Józefa","Grunwald","gminna","333",,
"505","Halna","Jeżyce","gminna","116",,
"506","Halszki","Stare Miasto","droga wewnętrzna","655",,
"507","Hangarowa","Jeżyce","gminna","214",,
"508","Harcerska","Nowe Miasto","gminna","119",,
"509","Hawelańska","Stare Miasto","gminna","392",,
"510","Hejmowskiego Stanisława","Stare Miasto","droga wewnętrzna","125",,
"511","Helska","Nowe Miasto","gminna","81",,
"512","Herberta Zbigniewa","Jeżyce","droga wewnętrzna","190",,
"513","Herbowa","Stare Miasto","gminna","131",,
"514","Hercena Aleksandra","Stare Miasto","gminna","1156",,
"515","Herlinga-Grudzińskiego Gustawa","Jeżyce","droga wewnętrzna","144",,
"516","Heweliusza","Grunwald","gminna","420",,
"517","Hezjoda","Jeżyce","droga wewnętrzna","603",,
"518","Hiacyntowa","Grunwald","gminna","1203",,
"519","Hłaski Marka","Jeżyce","gminna","281",,
"520","Hodowlana","Stare Miasto","gminna","704",,
"521","Hoffmanowej Klementyny","Jeżyce","droga wewnętrzna","236",,
"522","Homera","Jeżyce","droga wewnętrzna","902",,
"523","Horacego","Jeżyce","gminna","279",,
"524","Hoża","Jeżyce","gminna","208",,
"525","Hrubieszowska","Nowe Miasto","gminna","238",,
"526","Hrynakowskiego Konstantego","Grunwald","gminna","110",,
"527","Hubalczyków","Stare Miasto","gminna","46",,
"528","Huby Moraskie","Stare Miasto","gminna","2761",,
"529","Hulewiczów","Stare Miasto","gminna","512",,
"530","Husarska","Grunwald","gminna","431",,
"531","Hutnicza","Wilda","gminna","112",,
"532","Hynka Franciszka","Jeżyce","gminna","187",,
"533","Idzikowskiego Ludwika","Jeżyce","gminna","235",,
"534","Ikara","Jeżyce","gminna","85",,
"535","Iłłakowiczówny Kazimiery","Grunwald","gminna","321",,
"536","Iłowska","Nowe Miasto","gminna","373",,
"537","Iłżańska","Nowe Miasto","gminna","719",,
"538","Inflancka","Nowe Miasto","gminna","542",,
"539","Inowrocławska","Nowe Miasto","gminna","776",,
"540","Inspektowa","Stare Miasto","droga wewnętrzna","214",,
"541","Irysowa","Grunwald","gminna","233",,
"542","Irzykowskiego Karola","Jeżyce","droga wewnętrzna","356",,
"543","Iwaszkiewicza Jarosława","Jeżyce","droga wewnętrzna","187",,
"544","Iwonicka","Jeżyce","gminna","431",,
"545","Izbicka","Jeżyce","gminna","279",,
"546","Jabłonkowska","Wilda","gminna","422",,
"547","Jachowicza Stanisława","Grunwald","gminna","322",,
"548","Jachtowa","Jeżyce","gminna","504",,
"549","Jackowskiego Maksymiliana","Jeżyce","gminna","662",,
"550","Jagodowa","Nowe Miasto","gminna","737",,
"551","Jakiela Stanisława","Jeżyce","gminna","111",,
"552","Jałowcowa","Wilda","gminna","283",,
"553","Janickiego Klemensa","Jeżyce","gminna","649",,
"554","Janikowska","Nowe Miasto","gminna","1831",,
"555","Janisławy","Nowe Miasto","gminna","92",,
"556","Janiszewskiego Józefa","Wilda","gminna","149",,
"557","Janosika","Grunwald","gminna","202",,
"558","Janowo","Stare Miasto","droga wewnętrzna","204",,
"559","Janowska","Nowe Miasto","gminna","450",,
"560","Januszewskiej Hanny","Grunwald","gminna","104",,
"561","Jaracza Stefana","Grunwald","gminna","144",,
"562","Jaraczewska","Wilda","gminna","51",,
"563","Jarochowskiego Kazimierza","Grunwald","gminna","1065",,
"564","Jarocińska","Jeżyce","gminna","198",,
"565","Jaromińska","Nowe Miasto","gminna","453",,
"566","Jaromira","Nowe Miasto","gminna","291",,
"567","Jarosławska","Nowe Miasto","gminna","1506",,
"568","Jarowa","Stare Miasto","gminna","438",,
"569","Jarzębowa","Wilda","gminna","349",,
"570","Jasielska","Jeżyce","gminna","855",,
"571","Jaskiniowa","Grunwald","gminna","124",,
"572","Jaskółcza","Stare Miasto","gminna","65",,
"573","Jasna","Grunwald","gminna","336",,
"574","Jasna Rola","Stare Miasto","gminna","1600",,
"575","Jasne Błonie","Stare Miasto","gminna","877",,
"576","Jaspisowa","Stare Miasto","droga wewnętrzna","177",,
"577","Jastarnicka","Jeżyce","gminna","54",,
"578","Jastrowska","Jeżyce","gminna","1533",,
"579","Jastruna Mieczysława","Jeżyce","droga wewnętrzna","136",,
"580","Jastrzębia","Nowe Miasto","droga wewnętrzna","253",,
"581","Jaśminowa","Wilda","gminna","179",,
"582","Jawornicka","Grunwald","powiatowa","1007",,
"583","Jaworowa","Wilda","droga wewnętrzna","683",,
"584","Jeleniogórska","Grunwald","gminna","1083",,
"585","Jelitkowska","Jeżyce","gminna","162",,
"586","Jemiołowa","Stare Miasto","droga wewnętrzna","149",,
"587","Jesienna","Grunwald","gminna","178",,
"588","Jezierskiego Wincentego","Stare Miasto","droga wewnętrzna","103",,
"589","Jeziorańska","Jeżyce","gminna","579",,
"590","Jeżynowa","Nowe Miasto","droga wewnętrzna","268",,
"591","Jęczmienna","Stare Miasto","gminna","165",,
"592","Jędrzejowska","Nowe Miasto","gminna","1325",,
"593","Jodłowa","Wilda","gminna","504",,
"594","Jordana Henryka","Wilda","gminna","250",,
"595","Jugosłowiańska","Grunwald","powiatowa","199",,
"596","Junacka","Grunwald","gminna","377",,
"597","Junikowska","Grunwald","gminna","963",,
"598","Juracka","Nowe Miasto","droga wewnętrzna","331",,
"599","Juranda","Stare Miasto","gminna","297",,
"600","Jurandota Jerzego","Jeżyce","droga wewnętrzna","121",,
"601","Jutrosińska","Grunwald","gminna","271",,
"602","Jutrzenka","Grunwald","droga wewnętrzna","293",,
"603","Juwenalisa","Jeżyce","gminna","300",,
"604","Kacza","Grunwald","gminna","378",,
"605","Kaczeńcowa","Grunwald","gminna","522",,
"606","Kaczmarka Ignacego","Jeżyce","droga wewnętrzna","118",,
"607","Kaczmarka Ignacego","Jeżyce","gminna","217",,
"608","Kadecka","Grunwald","gminna","169",,
"609","Kadłubka Wincentego","Jeżyce","gminna","183",,
"610","Kajakowa","Jeżyce","gminna","462",,
"611","Kajki Michała","Jeżyce","gminna","112",,
"612","Kalinowa","Wilda","gminna","309",,
"613","Kaliowa","Grunwald","gminna","476",,
"614","Kaliska","Nowe Miasto","gminna","504",,
"615","Kamienicka","Grunwald","gminna","143",,
"616","Kamienna","Wilda","gminna","237",,
"617","Kamiennogórska","Grunwald","gminna","471",,
"618","Kamieńska","Nowe Miasto","gminna","221",,
"619","Kanałowa","Grunwald","gminna","109",,
"620","Kanclerska","Grunwald","gminna","437",,
"621","Kantaka Kazimierza","Stare Miasto","gminna","127",,
"622","Kapitańska","Jeżyce","gminna","123",,
"623","Karawelowa","Jeżyce","droga wewnętrzna","223",,
"624","Karbowska","Stare Miasto","gminna","106",,
"625","Kargowska","Grunwald","gminna","111",,
"626","Karkonoska","Jeżyce","gminna","288",,
"627","Karlińska","Jeżyce","gminna","295",,
"628","Karmelicka","Stare Miasto","gminna","87",,
"629","Karpacka","Jeżyce","gminna","706",,
"630","Karpia","Stare Miasto","gminna","1439",,
"631","Karpicka","Grunwald","droga wewnętrzna","185",,
"632","Karpińskiej Aleksandry","Jeżyce","gminna","297",,
"633","Karsińska","Jeżyce","droga wewnętrzna","141",,
"634","Karskiego Jana","Jeżyce","gminna","220",,
"635","Kartuska","Jeżyce","gminna","646",,
"636","Karwieńska","Jeżyce","gminna","139",,
"637","Karwowskiego Stanisława","Grunwald","gminna","141",,
"638","Kasprowicza Jana","Jeżyce","gminna","424",,
"639","Kasprzaka Marcina","Grunwald","gminna","222","Hetmańska","Palacza"
"640","Kassyusza Jana","Jeżyce","gminna","183",,
"641","Kastylijska","Stare Miasto","droga wewnętrzna","138",,
"642","Kasztanowa","Wilda","gminna","398",,
"643","Kasztelańska","Grunwald","gminna","681",,
"644","Kaszubska","Jeżyce","gminna","118",,
"645","Katalońska","Stare Miasto","droga wewnętrzna","139",,
"646","Katowicka","Nowe Miasto","gminna","1022",,
"647","Kącik","Grunwald","gminna","19",,
"648","Kąpielowa","Jeżyce","droga wewnętrzna","172",,
"649","Kcyńska","Nowe Miasto","gminna","98",,
"650","Keplera Jana","Grunwald","droga wewnętrzna","763",,
"651","Ketlinga","Grunwald","gminna","165",,
"652","Kępa","Nowe Miasto","gminna","292",,
"653","Kępińska","Wilda","gminna","293",,
"654","Kiedacza Zbigniewa","Wilda","gminna","75",,
"655","Kielecka","Nowe Miasto","gminna","444",,
"656","Kiemliczów","Grunwald","droga wewnętrzna","395",,
"657","Kilińskiego Jana","Wilda","gminna","199",,
"658","Kirchholmska","Grunwald","gminna","100",,
"659","Kisielewskiego Stefana","Jeżyce","droga wewnętrzna","144",,
"660","Klasztorna","Stare Miasto","gminna","119",,
"661","Kleeberga Franciszka","Stare Miasto","gminna","58",,
"662","Klenowska","Nowe Miasto","gminna","878",,
"663","Klimontowska","Nowe Miasto","gminna","435",,
"664","Klin","Jeżyce","gminna","281",,
"665","Klonowa","Wilda","gminna","216",,
"666","Klonowica Sebastiana","Grunwald","gminna","108",,
"667","Kluczborska","Wilda","gminna","93",,
"668","Kłecka","Nowe Miasto","droga wewnętrzna","63",,
"669","Kłońska","Nowe Miasto","gminna","382",,
"670","Kłosowa","Stare Miasto","gminna","261",,
"671","Kłuszyńska","Grunwald","gminna","294",,
"672","Kmicica","Grunwald","gminna","286",,
"673","Kmieca","Stare Miasto","gminna","317",,
"674","Kminkowa","Stare Miasto","droga wewnętrzna","274",,
"675","Knapowskiego Stanisława","Grunwald","gminna","337",,
"676","Knolla-Kownackiego Edmunda","Stare Miasto","gminna","263",,
"677","Knyszyn","Stare Miasto","droga wewnętrzna","95",,
"678","Kobylepole","Nowe Miasto","gminna","2317","Michałowo","Darzyborska"
"679","Kobylińska","Wilda","gminna","187",,
"680","Kocankowa","Stare Miasto","droga wewnętrzna","73",,
"681","Kocha Roberta","Wilda","gminna","174",,
"682","Kochanowskiego Jana","Jeżyce","gminna","492",,
"683","Kociewska","Jeżyce","gminna","207",,
"684","Kocjana Antoniego","Jeżyce","gminna","91",,
"685","Kokosowa","Stare Miasto","droga wewnętrzna","75",,
"686","Kolberga Oskara","Wilda","droga wewnętrzna","125",,
"687","Kolbuszowska","Nowe Miasto","gminna","1556",,
"688","Kolegiacki plac","Stare Miasto","gminna","275",,
"689","Kolska","Nowe Miasto","gminna","208",,
"690","Kołłątaja Hugona","Wilda","gminna","1546",,
"691","Kołobrzeska","Jeżyce","gminna","773",,
"692","Kołodzieja","Nowe Miasto","gminna","773",,
"693","Komandoria","Nowe Miasto","gminna","610",,
"694","Komandorska","Jeżyce","gminna","128",,
"695","Komornicka","Grunwald","gminna","493",,
"696","Konarowa","Wilda","gminna","242",,
"697","Konarskiego Stanisława","Nowe Miasto","gminna","365",,
"698","Konarzewska","Grunwald","gminna","694",,
"699","Konatkowskiej Gertrudy","Jeżyce","gminna","350",,
"700","Konfederacka","Grunwald","gminna","170",,
"701","Konińska","Nowe Miasto","gminna","257",,
"702","Konopna","Stare Miasto","gminna","576",,
"703","Konopnickiej Marii","Grunwald","gminna","249",,
"704","Kontryma Bolesława ","Jeżyce","gminna","234",,
"705","Konwaliowa","Wilda","gminna","357",,
"706","Kopanina","Grunwald","powiatowa","248",,
"707","Kopanina","Grunwald","droga wewnętrzna","75","Giżycka","Przepiórcza"
"708","Kopciuszka","Grunwald","gminna","159",,
"709","Kopcowa","Stare Miasto","gminna","793",,
"710","Kopczyńskiego Onufrego","Stare Miasto","powiatowa","285",,
"711","Kopernika Mikołaja","Stare Miasto","gminna","136",,
"712","Koprowa","Stare Miasto","gminna","204",,
"713","Koprzywnicka","Nowe Miasto","gminna","246",,
"714","Kopy Andrzeja","Jeżyce","gminna","120",,
"715","Kopylnik","Nowe Miasto","gminna","855",,
"716","Koralowa","Nowe Miasto","gminna","143",,
"717","Korbielowska","Nowe Miasto","droga wewnętrzna","94",,
"718","Korczaka Janusza","Wilda","gminna","291",,
"719","Korczyńska","Nowe Miasto","gminna","314",,
"720","Kordeckiego Augustyna","Grunwald","gminna","766",,
"721","Korfantego Wojciecha","Wilda","gminna","501",,
"722","Kormorana","Nowe Miasto","droga wewnętrzna","440",,
"723","Koronkarska","Nowe Miasto","gminna","480",,
"724","Koronna","Jeżyce","gminna","142",,
"725","Koronowska","Nowe Miasto","gminna","73",,
"726","Korwetowa","Jeżyce","droga wewnętrzna","285",,
"727","Korzenna","Wilda","gminna","180",,
"728","Kosiarzy","Nowe Miasto","gminna","169",,
"729","Kosidowskiego Zenona","Grunwald","gminna","67",,
"730","Kosińskiego Antoniego","Wilda","gminna","620",,
"731","Kosowska","Jeżyce","gminna","288",,
"732","Kossaka Juliusza","Grunwald","gminna","256",,
"733","Kostrzewskiego Józefa","Stare Miasto","droga wewnętrzna","374",,
"734","Kostrzyńska","Nowe Miasto","gminna","592",,
"735","Kosynierska","Grunwald","gminna","185",,
"736","Kościańska","Grunwald","gminna","688",,
"737","Kościelskiego Józefa","Jeżyce","gminna","138",,
"738","Kościerzyńska","Jeżyce","gminna","865",,
"739","Kościuszki Tadeusza","Stare Miasto","gminna","1739",,
"740","Kotarbińskiego Tadeusza","Wilda","droga wewnętrzna","132",,
"741","Kotlarska","Nowe Miasto","gminna","135",,
"742","Kotlińska","Wilda","gminna","47",,
"743","Kotwicza Władysława","Nowe Miasto","gminna","249",,
"744","Kowalczyka Honoriusza o.","Stare Miasto","gminna","105",,
"745","Kowalewicka","Grunwald","gminna","1056",,
"746","Kowalówki Henryka","Stare Miasto","gminna","101",,
"747","Kowalska","Jeżyce","droga wewnętrzna","75",,
"748","Kowalska","Jeżyce","droga wewnętrzna","43",,
"749","Kowalskiego Rocha","Grunwald","gminna","165",,
"750","Kowarska","Jeżyce","droga wewnętrzna","283",,
"751","Kozaka Romana","Wilda","gminna","232",,
"752","Kozia","Stare Miasto","gminna","450",,
"753","Kozienicka","Nowe Miasto","gminna","286",,
"754","Koziorożca","Nowe Miasto","droga wewnętrzna","154",,
"755","Kozłowskiego Władysława","Stare Miasto","droga wewnętrzna","138",,
"756","Koźmiana Jana","Jeżyce","droga wewnętrzna","202",,
"757","Koźmińska","Wilda","gminna","204",,
"758","Krajenecka","Jeżyce","gminna","1076",,
"759","Krakowiaków i Górali","Stare Miasto","droga wewnętrzna","434",,
"760","Krakowska","Stare Miasto","gminna","543",,
"761","Kramarska","Stare Miasto","gminna","118",,
"762","Krańcowa","Nowe Miasto","powiatowa","424",,
"763","Krapkowicka","Grunwald","droga wewnętrzna","130",,
"764","Krasickiego Ignacego","Wilda","gminna","1050",,
"765","Krasińskiego Zygmunta","Jeżyce","gminna","180",,
"766","Krasnoludków","Grunwald","gminna","177",,
"767","Kraśnicka","Nowe Miasto","gminna","271",,
"768","Kresowa","Stare Miasto","gminna","787",,
"769","Krobska","Grunwald","gminna","133",,
"770","Krokusowa","Grunwald","gminna","449",,
"771","Krośniewicka","Nowe Miasto","gminna","394",,
"772","Krotoszyńska","Nowe Miasto","droga wewnętrzna","958",,
"773","Królewny Śnieżki","Grunwald","gminna","102",,
"774","Królewska","Stare Miasto","gminna","366",,
"775","Królickiego Stanisława","Jeżyce","gminna","85",,
"776","Krótka","Nowe Miasto","gminna","131",,
"777","Krucza","Nowe Miasto","droga wewnętrzna","491",,
"778","Kruszwicka","Nowe Miasto","gminna","202",,
"779","Krwawnikowa","Stare Miasto","droga wewnętrzna","97",,
"780","Kryłowa Iwana","Grunwald","gminna","120",,
"781","Krynicka","Jeżyce","gminna","509",,
"782","Krysiewicza Bolesława","Stare Miasto","gminna","221",,
"783","Kryształowa","Stare Miasto","droga wewnętrzna","106",,
"784","Krywiczańska","Stare Miasto","gminna","151",,
"785","Krzepicka","Grunwald","gminna","251",,
"786","Krzesiny","Nowe Miasto","gminna","1401",,
"787","Krzeszowicka","Grunwald","gminna","397",,
"788","Krzywa","Grunwald","gminna","414",,
"789","Krzywickiego Ludwika","Wilda","gminna","189",,
"790","Krzywińska","Grunwald","gminna","312",,
"791","Krzyżowa","Wilda","gminna","290",,
"792","Krzyżówki","Nowe Miasto","droga wewnętrzna","91",,
"793","Książęca","Nowe Miasto","gminna","311","Św.Antoniego","bez przejazdu"
"794","Księcia Józefa","Stare Miasto","gminna","438",,
"795","Księżycowa","Grunwald","gminna","204",,
"796","Ku Cytadeli","Stare Miasto","gminna","148",,
"797","Ku Dębinie","Wilda","droga wewnętrzna","449",,
"798","Kubiaka Zygmunta","Jeżyce","gminna","198",,
"799","Kudowska","Jeżyce","gminna","378",,
"800","Kujawska","Jeżyce","gminna","161",,
"801","Kukułcza","Nowe Miasto","droga wewnętrzna","420",,
"802","Kuncewiczowej Marii","Jeżyce","droga wewnętrzna","157",,
"803","Kunickiego Stanisława","Wilda","gminna","298",,
"804","Kupały","Stare Miasto","gminna","189",,
"805","Kurcewiczówny Heleny","Grunwald","gminna","169",,
"806","Kurpiowska","Jeżyce","gminna","52",,
"807","Kurzanoga","Stare Miasto","droga wewnętrzna","59",,
"808","Kutnowska","Nowe Miasto","gminna","224",,
"809","Kuźnicza","Grunwald","gminna","152",,
"810","Kwiatkowskiego Eugeniusza","Wilda","gminna","1385",,
"811","Kwiatowa","Stare Miasto","gminna","138",,
"812","Kwidzyńska","Jeżyce","gminna","225",,
"813","Kwiryny","Nowe Miasto","gminna","76",,
"814","Lachowicka","Nowe Miasto","gminna","821",,
"815","Langiewicza Mariana","Wilda","gminna","407",,
"816","Laskowa","Wilda","droga wewnętrzna","113",,
"817","Latawcowa","Jeżyce","gminna","58",,
"818","Latwisa Stanisława","Jeżyce","gminna","253",,
"819","Laudańska","Grunwald","gminna","107",,
"820","Laurowa","Stare Miasto","gminna","387",,
"821","Lawendowa","Grunwald","gminna","422",,
"822","Lazurowa","Jeżyce","gminna","232",,
"823","Lądecka","Jeżyce","gminna","124",,
"824","Lebiodowa","Stare Miasto","droga wewnętrzna","96",,
"825","Lednicka","Jeżyce","gminna","302",,
"826","Ledóchowskiej Urszuli","Jeżyce","gminna","235",,
"827","Legnicka","Grunwald","gminna","311",,
"828","Lelewela Joachima","Wilda","gminna","1587",,
"829","Lema Stanisława","Jeżyce","droga wewnętrzna","144",,
"830","Lemierzycka","Jeżyce","gminna","122",,
"831","Leńskiego Juliana","Stare Miasto","droga wewnętrzna","409",,
"832","Lermontowa Michaiła","Jeżyce","droga wewnętrzna","371",,
"833","Leska","Nowe Miasto","gminna","126",,
"834","Leszka","Nowe Miasto","powiatowa","1138",,
"835","Leśmiana Bolesława","Grunwald","gminna","186",,
"836","Leśna","Nowe Miasto","gminna","1321",,
"837","Leśników","Nowe Miasto","gminna","212",,
"838","Leśnowolska","Jeżyce","gminna","377",,
"839","Leśnych Skrzatów","Grunwald","gminna","1282",,
"840","Letnia","Nowe Miasto","gminna","117",,
"841","Lewandowskiego Baltazara","Stare Miasto","gminna","1945",,
"842","Lewkoniowa","Grunwald","gminna","420",,
"843","Leżajska","Nowe Miasto","droga wewnętrzna","319",,
"844","Lęborska","Jeżyce","gminna","1109",,
"845","Lidzbarska","Jeżyce","gminna","118",,
"846","Lidzka","Nowe Miasto","gminna","150",,
"847","Liliowa","Jeżyce","droga wewnętrzna","115",,
"848","Limanowska","Jeżyce","gminna","107",,
"849","Limanowskiego Bolesława","Grunwald","gminna","395",,
"850","Limbowa","Wilda","droga wewnętrzna","103",,
"851","Lindego Samuela","Jeżyce","gminna","135",,
"852","Lipnicka","Nowe Miasto","gminna","113",,
"853","Lipowa","Wilda","gminna","189",,
"854","Lipowy plac","Wilda","gminna","38",,
"855","Lisa Witalisa","Grunwald","gminna","248",,
"856","Lisia","Nowe Miasto","gminna","232",,
"857","Lisowskiego Zygmunta","Stare Miasto","droga wewnętrzna","92",,
"858","Listopadowa","Grunwald","gminna","504",,
"859","Literacka","Jeżyce","gminna","245",,
"860","Litewska","Jeżyce","gminna","864",,
"861","Lodowa","Grunwald","gminna","753",,
"862","Logi Adama","Grunwald","gminna","141",,
"863","Lotaryńska","Stare Miasto","droga wewnętrzna","199",,
"864","Lotnicza","Jeżyce","gminna","83",,
"865","Lotosowa","Grunwald","gminna","447",,
"866","Luba","Jeżyce","gminna","53",,
"867","Lubartowska","Nowe Miasto","gminna","188",,
"868","Lubczykowa","Stare Miasto","gminna","1675",,
"869","Lubeckiego Franciszka","Grunwald","gminna","467",,
"870","Lubelska","Nowe Miasto","gminna","400",,
"871","Lubiatowska","Jeżyce","gminna","87",,
"872","Lubieńska","Jeżyce","gminna","572",,
"873","Lubniewicka","Grunwald","droga wewnętrzna","141",,
"874","Lubomierska","Jeżyce","droga wewnętrzna","168",,
"875","Lubońska","Wilda","gminna","110",,
"876","Lubosińska","Jeżyce","gminna","44",,
"877","Lubowska","Jeżyce","gminna","1357",,
"878","Lubrańskiego Jana","Nowe Miasto","gminna","162",,
"879","Lubuszańska","Nowe Miasto","droga wewnętrzna","35",,
"880","Ludgardy","Stare Miasto","gminna","68",,
"881","Ludmiły","Nowe Miasto","gminna","474",,
"882","Ludosławy","Nowe Miasto","gminna","599",,
"883","Ludygi-Laskowskiego Jana","Wilda","gminna","78",,
"884","Lukrecjusza","Jeżyce","gminna","132",,
"885","Lumumby Patrice`a","Wilda","gminna","70",,
"886","Lwa","Nowe Miasto","droga wewnętrzna","357",,
"887","Lwówecka","Grunwald","droga wewnętrzna","78",,
"888","Łabędzia","Nowe Miasto","droga wewnętrzna","334",,
"889","Łabiszyńska","Nowe Miasto","droga wewnętrzna","62",,
"890","Łacina","Nowe Miasto","gminna","154",,
"891","Łady","Jeżyce","gminna","80",,
"892","Łagiewnicka","Jeżyce","gminna","328",,
"893","Łagodna","Stare Miasto","gminna","261",,
"894","Łagowska","Jeżyce","gminna","1076",,
"895","Łanowa","Wilda","gminna","143",,
"896","Łaskarza Andrzeja","Nowe Miasto","gminna","188",,
"897","Ławica","Grunwald","gminna","411",,
"898","Łazienna","Stare Miasto","gminna","131",,
"899","Łąkowa","Stare Miasto","gminna","334",,
"900","Łebska","Jeżyce","gminna","769",,
"901","Łęczycka","Nowe Miasto","gminna","221",,
"902","Łęgi Dębińskie","Wilda","gminna","135",,
"903","Łęgowskiego Józefa","Jeżyce","droga wewnętrzna","80",,
"904","Łobeska","Grunwald","gminna","113",,
"905","Łobżenicka","Jeżyce","gminna","222",,
"906","Łomnicka","Jeżyce","gminna","227",,
"907","Łomżyńska","Nowe Miasto","gminna","627",,
"908","Łopawska","Nowe Miasto","gminna","314",,
"909","Łopianowa","Stare Miasto","gminna","395",,
"910","Łosiowa","Nowe Miasto","gminna","241",,
"911","Łotewska","Stare Miasto","droga wewnętrzna","260",,
"912","Łowicka","Nowe Miasto","gminna","62",,
"913","Łowmiańskiego Henryka","Stare Miasto","droga wewnętrzna","308",,
"914","Łozowa","Wilda","powiatowa","406",,
"915","Łódzka","Jeżyce","gminna","174",,
"916","Łubieńskiej","Grunwald","droga wewnętrzna","877",,
"917","Łubinowa","Grunwald","gminna","447",,
"918","Łuczanowska","Stare Miasto","gminna","136",,
"919","Łuczkowska","Nowe Miasto","gminna","276",,
"920","Łucznicza","Nowe Miasto","gminna","90",,
"921","Ługańska","Nowe Miasto","powiatowa","426",,
"922","Łukaszewicza Józefa","Grunwald","gminna","778",,
"923","Łupowska","Jeżyce","gminna","86",,
"924","Łuszczewskiej Jadwigi","Jeżyce","droga wewnętrzna","103",,
"925","Łużycka","Stare Miasto","gminna","514",,
"926","Łyski","Nowe Miasto","droga wewnętrzna","101",,
"927","Łysogórska","Nowe Miasto","gminna","1363",,
"928","Łysy Młyn","Stare Miasto","droga wewnętrzna","207",,
"929","Macewicza Gustawa","Jeżyce","gminna","148",,
"930","Maciejewskiego Jarosława","Stare Miasto","droga wewnętrzna","198",,
"931","Maciejkowa","Grunwald","gminna","106",,
"932","Macierzankowa","Grunwald","gminna","233",,
"933","Madalińskiego Antoniego","Wilda","gminna","252",,
"934","Madziarska","Stare Miasto","gminna","1372",,
"935","Magazynowa","Wilda","gminna","534",,
"936","Magnacka","Stare Miasto","gminna","203",,
"937","Magnoliowa","Grunwald","gminna","806",,
"938","Majakowskiego Włodzimierza","Nowe Miasto","powiatowa","1993",,
"939","Majerankowa","Stare Miasto","droga wewnętrzna","56",,
"940","Majowa","Jeżyce","droga wewnętrzna","64",,
"941","Maklakiewicza Jana","Grunwald","gminna","143",,
"942","Makoszowska","Nowe Miasto","droga wewnętrzna","417",,
"943","Makowa","Wilda","gminna","392",,
"944","Makowej Panienki","Grunwald","gminna","197",,
"945","Maków Polnych","Stare Miasto","gminna","335",,
"946","Makuszyńskiego Kornela","Grunwald","gminna","374",,
"947","Malborska","Jeżyce","gminna","248",,
"948","Malczewskiego Jacka","Wilda","droga wewnętrzna","54",,
"949","Malechowska","Grunwald","gminna","122",,
"950","Malewskiej Hanny","Jeżyce","droga wewnętrzna","120",,
"951","Malinowa","Wilda","gminna","122",,
"952","Malinowskiego Bronisława","Nowe Miasto","gminna","555",,
"953","Mała","Grunwald","gminna","164",,
"954","Małachowskiego Stanisława","Nowe Miasto","gminna","499",,
"955","Małeckiego Antoniego","Grunwald","gminna","591",,
"956","Małopolska","Jeżyce","gminna","1032",,
"957","Małoszyńska","Grunwald","gminna","515",,
"958","Mandarynkowa","Stare Miasto","droga wewnętrzna","92",,
"959","Mansfelda Petera","Jeżyce","gminna","126",,
"960","Maratońska","Wilda","gminna","192",,
"961","Marcelińska","Grunwald","powiatowa","1098",,
"962","Marciniaka Floriana","Jeżyce","gminna","211",,
"963","Marciniaka Floriana","Jeżyce","droga wewnętrzna","149",,
"964","Margaretkowa","Grunwald","gminna","208",,
"965","Margonińska","Jeżyce","gminna","626",,
"966","Mariacka","Nowe Miasto","gminna","190",,
"967","Mariampolska","Stare Miasto","droga wewnętrzna","127",,
"968","Marklowicka","Nowe Miasto","droga wewnętrzna","68",,
"969","Marszałkowska","Grunwald","gminna","988",,
"970","Marynarska","Jeżyce","droga wewnętrzna","176",,
"971","Marzanny","Stare Miasto","gminna","117",,
"972","Maszewska","Jeżyce","gminna","413",,
"973","Masztalarska","Stare Miasto","gminna","273",,
"974","Masztowa","Nowe Miasto","gminna","270",,
"975","Maszynowa","Grunwald","gminna","453",,
"976","Maya Romana","Nowe Miasto","gminna","1078",,
"977","Mazowiecka","Jeżyce","gminna","976",,
"978","Mazurska","Jeżyce","gminna","260",,
"979","Mączna","Jeżyce","gminna","59",,
"980","Meissnera Janusza","Jeżyce","gminna","257",,
"981","Meliorantów","Jeżyce","gminna","175",,
"982","Melisowa","Stare Miasto","droga wewnętrzna","180",,
"983","Metalowa","Grunwald","gminna","117",,
"984","Mewy","Nowe Miasto","droga wewnętrzna","76",,
"985","Mgielna","Grunwald","droga wewnętrzna","186",,
"986","Miastkowska","Grunwald","gminna","958",,
"987","Michałowo","Nowe Miasto","gminna","4388",,
"988","Michałowska","Jeżyce","droga wewnętrzna","322",,
"989","Mickiewicza Adama","Jeżyce","gminna","746",,
"990","Mickiewicza Adama plac","Stare Miasto","droga wewnętrzna","44",,
"991","Miechowska","Nowe Miasto","gminna","368",,
"992","Miecznikowska","Grunwald","gminna","191",,
"993","Mieczykowa","Grunwald","gminna","88",,
