"WYKAZ ULIC UKŁADU UZUPEŁNIAJĄCEGO",,,,,,
"Lp.","Ulica","dzielnica","kategoria","Długość [m]","Przebieg od","Przebieg do"
"107","Bluszczowa","Wilda","gminna","292",,
"108","Bławatkowa","Wilda","gminna","84",,
"109","Błażeja","Stare Miasto","gminna","504",,
"110","Błękitna","Jeżyce","gminna","183",,
"111","Błońska","Wilda","gminna","117",,
"112","Błotna","Wilda","gminna","301",,
"113","Bnińska","Nowe Miasto","gminna","503",,
"114","Bnińskiego Adolfa","Stare Miasto","gminna","88",,
"115","Bobolicka","Grunwald","gminna","60",,
"116","Bobrownicka","Nowe Miasto","gminna","1884",,
"117","Bociania","Jeżyce","gminna","117",,
"118","Boczna","Grunwald","gminna","97",,
"119","Boczowska","Grunwald","gminna","204",,
"120","Bodawska","Nowe Miasto","gminna","337",,
"121","Bogumiła","Stare Miasto","gminna","72",,
"122","Bogusława","Stare Miasto","gminna","69",,
"123","Bogusławskiego Wojciecha","Grunwald","gminna","946",,
"124","Bogusza","Stare Miasto","droga wewnętrzna","185",,
"125","Bohuszewiczówny Marii","Wilda","gminna","93",,
"126","Bojanowska","Grunwald","gminna","453",,
"127","Bojerowa","Jeżyce","gminna","1430",,
"128","Bolesławy","Nowe Miasto","gminna","263",,
"129","Bolka","Stare Miasto","gminna","605",,
"130","Bolkowicka","Grunwald","gminna","228",,
"131","Bonin","Jeżyce","gminna","303",,
"132","Boranta","Stare Miasto","gminna","531",,
"133","Borecka","Nowe Miasto","gminna","2352",,
"134","Borowa","Nowe Miasto","gminna","2289",,
"135","Borowikowa","Nowe Miasto","gminna","187",,
"136","Borówkowa","Stare Miasto","droga wewnętrzna","53",,
"137","Borsucza","Nowe Miasto","gminna","215",,
"138","Bortnowskiego Władysława","Stare Miasto","gminna","91",,
"139","Boruty","Grunwald","gminna","59",,
"140","Bosa","Grunwald","gminna","473",,
"141","Bosmańska","Jeżyce","droga wewnętrzna","177",,
"142","Botaniczna","Jeżyce","gminna","476",,
"143","Boya-Żeleńskiego Tadeusza","Jeżyce","gminna","543",,
"144","Bożeny","Nowe Miasto","gminna","1454",,
"145","Bożydara","Stare Miasto","gminna","847",,
"146","Bożymira","Stare Miasto","gminna","234",,
"147","Bożywoja","Stare Miasto","gminna","658",,
"148","Bóżnicza","Stare Miasto","gminna","129",,
"149","Braille`a Ludwika","Stare Miasto","gminna","103",,
"150","Brandstaettera Romana","Stare Miasto","gminna","168",,
"151","Brandysa Kazimierza","Jeżyce","droga wewnętrzna","94",,
"152","Braniborska","Grunwald","gminna","216",,
"153","Braniewska","Jeżyce","gminna","446",,
"154","Brasławska","Stare Miasto","droga wewnętrzna","298",,
"155","Braterstwa Broni aleja","Stare Miasto","droga wewnętrzna","341",,
"156","Bratkowa","Grunwald","droga wewnętrzna","154",,
"157","Bratumiły","Stare Miasto","gminna","214",,
"158","Brodnicka","Jeżyce","gminna","105",,
"159","Broniewskiego Stanisława","Jeżyce","gminna","347",,
"160","Bronisława","Stare Miasto","gminna","1095",,
"161","Bronisza","Stare Miasto","droga wewnętrzna","365",,
"162","Bronowa","Jeżyce","gminna","69",,
"163","Brossa Kazimierza","Grunwald","gminna","239",,
"164","Bruzdowa","Nowe Miasto","gminna","203",,
"165","Brzask","Grunwald","gminna","451",,
"166","Brzeska","Nowe Miasto","gminna","196",,
"167","Brzeźnicka","Grunwald","droga wewnętrzna","125",,
"168","Brzoskwiniowa","Nowe Miasto","gminna","350",,
"169","Brzozowa","Wilda","gminna","824",,
"170","Brzóski Stanisława ks.","Wilda","gminna","71",,
"171","Buczka Karola","Wilda","gminna","767",,
"172","Budzisława","Stare Miasto","gminna","402",,
"173","Budziszyńska","Grunwald","gminna","667",,
"174","Budzyńska","Jeżyce","gminna","152",,
"175","Bukowa","Wilda","droga wewnętrzna","289",,
"176","Bułhakowa Michaiła","Jeżyce","droga wewnętrzna","145",,
"177","Bunina Iwana","Jeżyce","droga wewnętrzna","194",,
"178","Bunscha Karola","Jeżyce","gminna","187",,
"179","Burgundzka","Stare Miasto","droga wewnętrzna","199",,
"180","Burszty Józefa","Wilda","gminna","597",,
"181","Bursztynowa","Stare Miasto","gminna","452",,
"182","Burysława","Stare Miasto","gminna","235",,
"183","Burzyńskiego Zbigniewa","Jeżyce","gminna","297",,
"184","Buska","Jeżyce","gminna","305",,
"185","Butryma Józwy","Grunwald","gminna","166",,
"186","Bużańska","Jeżyce","gminna","84",,
"187","Byczyńska","Grunwald","gminna","179",,
"188","Bydgoska","Nowe Miasto","gminna","338",,
"189","Bylicowa","Stare Miasto","droga wewnętrzna","190",,
"190","Bystra","Nowe Miasto","gminna","981",,
"191","Bystrzycka","Jeżyce","gminna","101",,
"192","Bystrzyckiego Przemysława plac","Jeżyce","droga wewnętrzna","163",,
"193","Bytomska","Wilda","gminna","147",,
"194","Bzowa","Wilda","gminna","206",,
"195","Calliera Edmunda","Grunwald","gminna","177",,
"196","Cedrowa","Wilda","droga wewnętrzna","119",,
"197","Cedzyńska","Grunwald","gminna","114",,
"198","Cegielskiego Hipolita","Stare Miasto","gminna","97",,
"199","Ceglana","Grunwald","gminna","483",,
"200","Celichowskich","Stare Miasto","gminna","249",,
"201","Ceramiczna","Grunwald","gminna","101",,
"202","Cetniewska","Jeżyce","gminna","320",,
"203","Chabrowa","Wilda","gminna","110",,
"204","Charzykowska","Jeżyce","gminna","297",,
"205","Chełmińska","Jeżyce","droga wewnętrzna","198",,
"206","Chełmońskiego Józefa","Grunwald","gminna","298",,
"207","Chemiczna","Nowe Miasto","gminna","1236",,
"208","Chęcińska","Nowe Miasto","gminna","174",,
"209","Chlebowa","Nowe Miasto","gminna","496",,
"210","Chłapowskiego Dezyderego","Wilda","gminna","388",,
"211","Chłodna","Grunwald","gminna","107",,
"212","Chmielna","Wilda","gminna","107",,
"213","Chmurna","Stare Miasto","droga wewnętrzna","224",,
"214","Chochołowska","Jeżyce","droga wewnętrzna","84",,
"215","Chociebora","Nowe Miasto","powiatowa","340",,
"216","Chocimska","Stare Miasto","gminna","360",,
"217","Chociszewskiego Józefa","Grunwald","gminna","659",,
"218","Chodzieska","Jeżyce","gminna","956",,
"219","Chojnicka","Jeżyce","gminna","2275","Słupska","Beskidzka"
"220","Chojnicka","Jeżyce","powiatowa","173",,
"221","Chomęcicka","Grunwald","gminna","123",,
"222","Chopina Fryderyka","Stare Miasto","gminna","241",,
"223","Chotomińska","Nowe Miasto","gminna","913",,
"224","Chrobacka","Stare Miasto","gminna","89",,
"225","Chryzantemowa","Grunwald","gminna","384",,
"226","Chrzanowska","Nowe Miasto","gminna","1455",,
"227","Chwaliszewo","Stare Miasto","gminna","360",,
"228","Chwiałkowskiego Marcina","Wilda","gminna","704",,
"229","Chyżańska","Nowe Miasto","droga wewnętrzna","252",,
"230","Ciasna","Stare Miasto","gminna","35",,
"231","Cicha","Stare Miasto","gminna","359",,
"232","Ciechocińska","Jeżyce","gminna","1409",,
"233","Cienista","Jeżyce","gminna","184",,
"234","Cieplicka","Jeżyce","gminna","204",,
"235","Cieszkowskiego Augusta","Jeżyce","gminna","1238",,
"236","Cieszymira","Nowe Miasto","gminna","129",,
"237","Cieszyńska","Wilda","gminna","419",,
"238","Cisowa","Wilda","gminna","179",,
"239","Cmentarna","Grunwald","gminna","1879",,
"240","Cybińska","Nowe Miasto","gminna","35",,
"241","Cybulskiego Wojciecha","Grunwald","gminna","198",,
"242","Cymsa Pawła","Wilda","gminna","60",,
"243","Cyniowa","Grunwald","gminna","154",,
"244","Cyprysowa","Wilda","droga wewnętrzna","119",,
"245","Cyraneczki","Nowe Miasto","droga wewnętrzna","61",,
"246","Cytadelowców aleja","Stare Miasto","droga wewnętrzna","602",,
"247","Cytrynowa","Stare Miasto","gminna","915",,
"248","Czajcza","Wilda","gminna","250",,
"249","Czapla","Stare Miasto","gminna","100",,
"250","Czaplinecka","Jeżyce","gminna","258",,
"251","Czarna Rola","Stare Miasto","gminna","406",,
"252","Czarnieckiego Stefana","Wilda","gminna","236",,
"253","Czarnkowska","Jeżyce","gminna","689",,
"254","Czarnohorska","Jeżyce","gminna","246",,
"255","Czarnucha","Stare Miasto","gminna","1816",,
"256","Czartoria","Stare Miasto","gminna","202",,
"257","Czechosłowacka","Grunwald","powiatowa","345",,
"258","Czechosłowacka","Wilda","powiatowa","167",,
"259","Czechowa Antona","Jeżyce","droga wewnętrzna","291",,
"260","Czechowska","Jeżyce","gminna","122",,
