60-177	ul. Hajduczka
60-177	ul. Hrynakowskiego Konstantego
60-177	ul. Ketlinga
60-177	ul. Kmicica
60-177	ul. Kowalskiego Rocha
60-177	ul. Kurcewiczówny Heleny
60-177	ul. Podbipięty Longinusa
60-178	ul. Dziewińska
60-178	ul. Laudańska
60-179	ul. Braniborska
60-179	ul. Budziszyńska
60-179	ul. Grunwaldzka
60-179	ul. Jeleniogórska
60-179	ul. Kamiennogórska
60-182	ul. Bobolicka
60-182	ul. Dobiegniewska
60-182	ul. Gorzowska
60-182	ul. Łobeska
60-182	ul. Mirosławiecka
60-182	ul. Perłowska
60-182	ul. Perzycka
60-183	ul. Głowicka
60-183	ul. Lubniewicka
60-183	ul. Owcza
60-184	ul. Goleniowska
60-184	ul. Jaracza
60-184	ul. Miastkowska
60-184	ul. Modrzejewskiej Heleny
60-184	ul. Osterwy Juliusza
60-184	ul. Powojowa
60-185	ul. Malwowa
60-186	ul. Barlinecka
60-186	ul. Grąbczowska
60-186	ul. Ławica
60-186	ul. Moryńska
60-186	ul. Odrzycka
60-187	ul. Oskierki
60-187	ul. Pozdawnicka
60-188	ul. Boczowska
60-188	ul. Malechowska
60-189	ul. Bukowska
60-192	ul. Barwicka
60-192	ul. Gryfińska
60-192	ul. Okonecka
60-193	ul. Andersena Christiana
60-193	ul. Baśniowa
60-193	ul. Grimma Wilhelma
60-193	ul. Guliwera
60-193	ul. Kopciuszka
60-193	ul. Krasnoludków
60-193	ul. Królewny Śnieżki
60-193	ul. Leśnych Skrzatów
60-193	ul. Makowej Panienki
60-193	ul. Misia Uszatka
60-193	ul. Pana Kleksa
60-193	ul. Pana Twardowskiego
60-194	ul. Baczyńskiego Krzysztofa Kamila
60-194	ul. Balickiego Stefana
60-194	ul. Bąka Wojciecha
60-194	ul. Czernika Stanisława
60-194	ul. Gałczyńskiego Konstantego Ildefonsa
60-194	ul. Kosidowskiego Zenona
60-194	ul. Leśmiana Bolesława
60-195	ul. Bełzy Władysława
60-195	ul. Boruty
60-195	ul. Brzechwy Jana
60-195	ul. Ezopa
60-195	ul. Fedrusa
60-195	ul. Jachowicza Stanisława
60-195	ul. Janosika
60-195	ul. Januszewskiej Hanny
60-195	ul. Kryłowa Iwana
60-195	ul. Lisa Witalisa
60-195	ul. Maklakiewicza Jana
60-195	ul. Makuszyńskiego Kornela
60-195	ul. Oppmana Artura
60-195	ul. Porazińskiej Janiny
60-196	ul. Bukowska
60-197	ul. Bukowska
60-198	ul. Jasna
60-201	ul. Chromowa
60-201	ul. Dwatory
60-201	ul. Górecka
60-201	ul. Spiżowa
60-201	ul. Wrońskiego Józefa
60-202	ul. Krauthofera Jakuba
60-203	ul. Krauthofera Jakuba
60-204	ul. Dmowskiego Romana
60-204	ul. Drobna
60-204	ul. Górki
60-205	ul. Głogowska
60-206	ul. Głogowska
60-208	ul. Duszna
60-208	ul. Załęże
60-209	ul. Dwatory
60-209	ul. Potworowskiego Gustawa
60-211	ul. Potockiej Klaudyny
60-211	ul. Potworowskiego Gustawa
60-212	ul. Potworowskiego Gustawa
60-213	ul. Stablewskiego Floriana
60-214	ul. Bogusławskiego Wojciecha
60-215	ul. Sczanieckiej Emilii
60-216	ul. Sczanieckiej Emilii
60-218	ul. Hetmańska
60-219	ul. Hetmańska
60-221	ul. Dmowskiego Romana
60-222	ul. Dmowskiego Romana
60-223	ul. Potworowskiego Gustawa
60-223	ul. Stablewskiego Floriana
60-224	ul. Chłodna
60-224	ul. Stablewskiego Floriana
60-225	ul. Lodowa
60-226	ul. Lodowa
60-227	ul. Lodowa
60-228	ul. Niegolewskich Andrzeja i Władysława
60-229	ul. Niegolewskich Andrzeja i Władysława
60-231	ul. Niegolewskich Andrzeja i Władysława
