,"ADRES ","OBIEKT ZABYTKOWY","NR REJESTRU","DATA DECYZJI"
,"Chyby, ul. Szkolna","Dwór w Chybach"," 1202/A","1970.09.20"
,"Chyby, ul. Szkolna","Park przy dworze w Chybach"," 2147/A","1988.04.14"
,"Cicha ul.","Wiadukt kolejowy","A 301","1987.04.06"
,"Czarnieckiego  ul. 5","Budynek Fundacji Bergera, ob. PP","A 428","1993.11.04"
,"Czerwca 28 ul. 135/147","Ogród z aleją platanów","A 027","1966.04.16"
,"Czerwca 28 ul. 135/147","Klasztor i Szkoła Sacré Coeur, ob. szpital","A 202","1978.11.07"
,"Czerwca 28 ul. 216","Stacja transformatorowa","A 480","2003.03.10"
,"Czerwca 28 ul. 328","Kościół paraf. pw. św.Trójcy","A 273","1984.12.06"
,"Dąbrowskiego ul.    5","Kamienica z teatrem","A 423","1993.08.10"
,"Dąbrowskiego ul.  12","Zakład Ubezpieczeń Pracowników Umysłowych, ob. ZUS","A 308","1987.04.10"
,"Dąbrowskiego ul.  17","Izba Rolnicza, ob. biura","A 470","2002.12.30"
,"Dąbrowskiego ul.  23 / Kochanowskiego 6","Kamienica ","A 432","1993.12.10"
,"Dąbrowskiego ul.  25","Kamienica","A 337","1991.09.25"
,"Dąbrowskiego ul.  35/37","Kamienica","A 338","1991.10.22"
,"Dąbrowskiego ul.  39 / Strzałkowskiego 1","Kamienica","A 333","1991.11.26"
,"Dąbrowskiego ul.  42","Kamienica ","A 465","2001.06.02"
,"Dąbrowskiego ul.  77","Willa z ogrodem","A 313","1989.01.11"
,"Dąbrowskiego ul.  86","Kamienica","A 415","1993.06.08"
,"Dąbrowskiego ul. 165","Ogród Botaniczny","A 196","1975.01.08"
,"Dąbrówki ul. 4","Kościół paraf. pw. Zmartwychwstania Pańskiego","A 298","1992.02.21"
,"Długa ul. 1/2","Klasztor Bernardynek, ob. szpital","A 158","1966.04.25"
,"Długa ul. 1/2 / Bernardyński pl.","Kościół Bernardynek  pw. Przemienienia Pańskiego","A 157","1931.02.26"
,"Dolna Wilda ul. 87","Elektrownia Wildecka","A 438","1996.01.23"
,"Dominikańska ul. 2","Dom mieszkalny","A 029","1958.04.11"
,"Dominikańska ul. 3","Dom mieszkalny","A 030","1958.04.11"
,"Droga Dębińska ul. 16","Dzieciniec ""Pod Słońcem""","A 290","1986.09.08"
,"Dworcowa ul. 1","Dworzec Letni ","A 448","1996.09.25"
,"Działowa ul.","Cmentarz Zasłużonych Wielkopolan","A 181","1961.07.10"
,"Działowy pl. 2","Kościół Karmelitów Bosych  pw. św. Józefa","A 159","1931.02.26"
,"Działowy pl. 2/ Działowa 25","Klasztor Karmelitów Bosych","A 160","1960.02.20"
,"Działyńskich ul. 3","Kamienica","A 350","1991.12.16"
,"Dziekańska ul. 1","Fortyfikacja Tumska","A 005","1966.04.16"
,"Filipińska ul. 4","Klasztor Filipinów","A 169","1934.10.10"
,"Franciszkańska ul. 2","Kościół Franciszkanów pw. św. Antoniego Padewskiego","A 161","1931.02.25"
,"Franciszkańska ul. 2","Klasztor Franciszkanów","A 162","1960.02.22"
,"Franciszkańska ul. 3","Kamienica","A 163","1960.02.20"
,"Fredry ul. ","Most Teatralny","A 299","1987.04.06"
,"Fredry ul.  2","Kamienica z oficyną","A 463","1999.09.10"
,"Fredry ul.  8 a","Bank Listów Zastawnych, ob. ZETO","A 248","1984.10.31"
,"Fredry ul.  9","Opera","A 021","1966.04.16"
,"Fredry ul. 10","Komisja Kolonizacyjna, ob. Collegium Maius ","A 210","1978.11.08"
,"Fredry ul. 11","Kościół ewang., ob. rzym.- kat. pw. Najśw. Zbawiciela","A 252","1984.10.20"
,"Gajowa ul. 1","Zespół zajezdni tramwajowej","A 467","2002.01.08"
,"Garbary ul.  22","Kościół Bernardynów pw. św. Franciszka Serafickiego","A 164","1931.02.25"
,"Garbary ul.  22","Klasztor Bernardynów","A 165","1960.02.20"
,"Garbary ul.  24","Gimnazjum św. Marii Magdaleny","A 221","1979.05.23"
,"Garbary ul.  26","Kamienica","A 034","1960.02.20"
,"Garbary ul.  30","Kamienica","A 035","1966.04.16"
,"Garbary ul.  34 / Mostowa 27","Dom mieszkalny","A 249","1984.12.06"
,"Garbary ul.  39","Kamienica","A 036","1960.02.20"
,"Garbary ul.  44","Kamienica","A 351","1992.02.27"
,"Garbary ul.  65","Kamienica","201/Wlkp/A","2004.10.12"
,"Garbary ul.  75 - 77","Osada św. Gotarda, cmentarzysko, osada polokacyjna","A 184","1971.12.01"
,"Garbary ul.  82 /Estkowskiego","Szkoła powszechna","A 257","1984.10.22"
,"Garbary ul.  96","Pawilon wystawowy  Krzyżanowskiego","A 214","1979.03.06"
,"Garbary ul. 101/111","Rzeźnia miejska","A 270","1984.10.31"
,"Garbary ul. 120","Stacja Pomp","A 268","1984.10.31"
,"Garncarska ul. 7","Szkoła powszechna","A 267","1984.10.31"
,"Głogowska ul. 14","Administracja Targów, ob. MTP","A 253","1984.10.22"
,"Głogowska ul. 14","Pałac Targowy (PWK), ob. MTP","A 272","1984.11.15"
,"Głogowska ul. 14","Wieża Górnośląska, ob. MTP","A 316","1995.12.27"
,"Głogowska ul. 15","Dworzec Zachodni","A 208","1978.11.04"
,"Głogowska ul. 17","Urząd Pocztowy","A 211","1978.11.07"
,"Głogowska ul. 28 / Śniadeckich 1","Kamienica","A 391","1992.09.05"
,"Głogowska ul. 29","Kamienica","A 331","1991.11.25"
,"Głogowska ul. 39","Kamienica","A 342","1991.12.10"
,"Głogowska ul. 40","Budynek mieszkalny z restauracją ","A 460","1998.10.27"
,"Głogowska ul. 41","Kamienica","A 344","1991.12.08"
,"Głogowska ul. 78","Kamienica","A 444","1996.08.29"
,"Głogowska ul. 90","Gimnazjum im. Słowackiego, ob. szkoła muzyczna","A 322","1990.10.19"
,"Głogowska ul. 92","Gimnazjum im. Mickiewicza, ob. VIII LO","A 321","1990.10.12"
,"Głogowska ul. 97","Kościół paraf. pw. Matki Boskiej Bolesnej","A 197","1977.06.29"
,"Głuszyna ul.","Cmentarz przy kościele św. Jakuba ","A 234 ","1983.03.25"
,"Głuszyna ul.","Cmentarz przy drodze na Piotrowo","A 235 ","1983.03.25"
,"Głuszyna ul. 150 a","Kościół  paraf. pw. św. Jakuba Większego","A 152 ","1966.04.25"
,"Głuszyna ul. 150 a","Dzwonnica przy kościele św. Jakuba","A 233","1982.04.26"
,"Gołębia ul. 1","Kościół Jezuitów, ob. farny pw. św. Stanisława Bpa i dzwonnica","A 149","1931.02.25"
,"Gołębia ul. 2","Kamienica","A 043","1958.04.11"
,"Gołębia ul. 8","Szkoła jezuicka, ob. szkoła baletowa","A 012","1971.03.24"
,"Gorzysława ul. / Radziwoja ","Cmentarzysko kultury łużyckiej","A 187","1971.12.01"
,"Góra Przemysła ul. 1","Zamek Przemysła, ob. muzeum","A 022","1952.05.29"
,"Góra Przemysła ul. 1","tzw. Kuchnia Królewska przy Zamku Przemysła","A 023","1966.04.16"
,"Górki ul. 5","Cmentarzysko kultury pomorskiej","A 183","1971.12.01"
,"Górna Wilda ul. 107","Kamienica","A 343","1991.12.16"
,"Graniczna ul. 13","Kamienica","A 425","1993.07.07"
,"Grobla ul.  1","Zbór ewang. św. Krzyża, ob. rzym.-kat. pw. Wszystkich Świętych","A 178","1931.02.25"
,"Grobla ul. 10","Dom mieszkalny","A 045","1966.04.16"
,"Grobla ul. 15","Gazownia i Wodociągi Miejskie","A 241","1982.12.08"
,"Grobla ul. 15","Administracja Zakładów Światła i Wody","A 269","1984.10.31"
,"Grobla ul. 22","Dom mieszkalny","A 047","1966.04.16"
,"Grobla ul. 25","Loża Masońska, ob. muzeum","A 019","1953.10.22"
,"Grochowe Łąki ul. 6","Fabryka Wódek i Likierów  ""Hartwig i Kantorowicz""","A 286","1985.03.15"
,"Grudnia 27  ul. 5","Kamienica","A 395","1993.02.11"
,"Grudnia 27  ul. 8/10","Teatr Polski","A 020","1958.04.18"
,"Grudzieniec ul. 8","Willa","A 215","1979.03.06"
,"Grunwaldzka ul.  3","Willa ""Flora""","A 048","1966.04.16"
,"Grunwaldzka ul.  6/8","Pałac Rządowy (PWK), ob. Collegium Chemicum","A 227","1980.03.20"
,"Grunwaldzka ul. - Ułańska - Wojskowa - Wyspiańskiego","Zespół koszarowy","A 294","1987.03.06"
,"Grunwaldzka ul. 15","Kamienica","A 353","1993.07.22"
,"Grunwaldzka ul. 16 a","Straż Pożarna","A 293","1986.10.21"
,"Grunwaldzka ul. 16/18","Hotel ""Polonia"" (PWK), ob. szpital","A 254","1984.10.20"
,"Grunwaldzka ul. 17","Kamienica z oficyną","A 481","2003.05.23"
,"Grunwaldzka ul. 20 a - Stolarska","Kamienica","A 469","2002.06.14"
,"Grunwaldzka ul. 23","Kamienica","A 354","1992.03.26"
,"Grunwaldzka ul. 40","Willa","A 355","1992.02.27"
,"Grunwaldzka ul. 42","Willa","A 356","1992.03.17"
,"Grunwaldzka ul. 44","Willa","A 357","1992.02.27"
,"Jackowskiego ul.  3","Kamienica","A 412","1993.05.26"
,"Jackowskiego ul. 25","Kamienica","A 341","1993.05.04"
,"Jackowskiego ul. 33","Kamienica z oficynami","A 459","1998.05.22"
,"Jackowskiego ul. 36","Kamienica","A 419","1994.06.28"
,"Jackowskiego ul. 39","Kamienica","A 450","1995.12.28"
,"Jackowskiego ul. 40","Kamienica z oficynami","A 457","1997.05.05"
,"Jarochowskiego ul. 1/ Wyspiańskiego 27","Szkoła powszechna","A 258","1984.10.20"
,"Jeżycka ul. 33","Kamienica z oficyną","A 466","2001.10.15"
,"Kantaka ul. 1","Kamienica","A 386","1993.02.26"
,"Kantaka ul. 2","Kamienica","A 383","1993.01.11"
,"Kantaka ul. 4","Kamienica","A 384","1993.01.19"
,"Klasztorna ul.  2","Dom mieszkalny","A 049","1958.04.11"
,"Klasztorna ul. 11","Probostwo farne","A 050","1958.05.10"
,"Klasztorna ul. 17","Dom mieszkalny","A 051","1966.04.16"
,"Klasztorna ul. 19 ","Dom mieszkalny ","A 052","1966.04.23"
,"Kobylepole","Średzka Kolej Powiatowa - zabudowa i fragment torowiska","A 318","1990.08.08"
,"Kolegiacki pl.  5","Kamienica","A 071","1960.03.29"
,"Kolegiacki pl.  6","Kamienica","A 072","1958.04.11"
,"Kolegiacki pl. 17","Kolegium Jezuickie, ob. Urząd Miasta","A 009","1971.03.24"
,"Kolejowa ul. 47","Kamienica","A 396","1992.09.25"
,"Kolejowa ul. 48","Kamienica","A 397","1992.09.25"
,"Konopnickiej ul.  1","Willa","A 440","1995.05.10"
,"Konopnickiej ul. 15","Willa","A 403","1992.12.14"
,"Kopernika ul.  9","Kamienica","A 399","1992.10.09"
,"Kopernika ul. 10/10a","Kamienica","A 441","1995.04.10"
,"Kosińskiego ul. 12 / Umińskiego 6","Kamienica","A 461","1999.03.16"
,"Kościelna ul.  3","Kościół pw. Najśw. Serca Pana Jezusa i św. Floriana","A 198","1977.06.29"
,"Kościelna ul. 28","Kamienica z oficynami","A 464","2000.05.09"
,"Kościelna ul. 43 / św.Wawrzyńca ","Zagroda bamberska","A 363","1992.06.15"
,"Kościuszki ul.  70","Dom mieszkalny","A 053","1966.04.23"
,"Kościuszki ul.  74","Kamienica","A 424","1993.08.25"
,"Kościuszki ul.  77","Dyrekcja Poczty","A 324","1991.10.11"
,"Kościuszki ul. 106","Budynek przy Szpitalu Diakonisek","A 414","1993.06.01"
,"Kozia ul.  8 / Szkolna 3 / Wrocławska 4","Kamienica","A 054","1958.04.11"
,"Kozia ul. 15","Kamienica","A 055","1966.04.23"
,"Kozia ul. 21","Kamienica","A 056","1958.04.11"
,"Kórnicka ul.","Most św. Rocha ( na rz. Warcie)","A 300","1987.04.06"
,"Krysiewicza ul. 5","Kamienica","A 314","1991.09.17"
,"Krysiewicza ul. 7/8 - Szymańskiego 6","Zespół Szpitala Dziecięcego św. Józefa z kaplicą pw. św. Józefa (ob. św. Rodziny) i Domem Zgromadzenia SS. Miłosierdzia ","A 478","2003.02.26"
,"Kwiatowa ul. 8 /Łąkowa 15","Kamienica","A 402","1993.01.08"
,"Libelta ul. 31","Willa","A 442","1995.10.24"
,"Libelta ul. 33","Willa","A 439","1995.01.21"
,"Limanowskiego ul. 13","Kościół ewang., ob. rzym.-kat. pw. św. Anny","A 224","1979.05.23"
,"Limanowskiego ul. 15 a","Willa","A 365","1992.06.26"
,"Lubrańskiego ul. 1","Akademia Lubrańskiego, ob. archiwum ","A 013","1960.02.20"
,"Ludgardy ul. ","Mur obronny","A 003","1933.05.13"
,"Lutego 23 ul. 41/43","Najwyższy Sąd Krajowy, ob. archiwum","A 220","1979.05.23"
,"Lutycka ul. 34","Tor Wyścigów Konnych","A 288","1986.02.05"
,"Łazarski Rynek  7 / Małeckiego  20","Kamienica","A 400","1992.09.29"
,"Łąkowa ul. 2","Szpital Elżbietanek","A 216","1979.03.21"
,"Łopianowa ul. 6","Dwór z parkiem w Nowej Wsi Górnej"," 2147/A","1983.07.06"
,"Madziarska ul. 12","Cmentarzysko kultury łużyckiej","A 186","1971.12.01"
,"Maja 3 ul. 46 / Pl. Wolności 14","Gmach Towarzystwa ""Union""","A 418","1994.10.10"
,"Maja 3 ul. 47","Kamienica","A 367","1992.07.14"
,"Majakowskiego ul. 199","Mauzoleum Mielochów","A 265","1984.10.30"
,"Majakowskiego ul. 309/311","Browar  Mycielskich","A 278","1985.02.27"
,"Marcin Św. ul.  8 / Podgórna 12","Kamienica","A 345","1992.11.05"
,"Marcin Św. ul. 13","Kościół paraf. pw. św. Marcina","A 150","1931.02.25"
,"Marcin Św. ul. 39","Kamienica","A 346","1991.10.22"
,"Marcin Św. ul. 45","Kamienica","A 347","1991.11.28"
,"Marcin Św. ul. 65","Szkoła powszechna, ob. biblioteka","A 266","1984.10.31"
,"Marcin Św. ul. 69","Kamienica","A 283","1985.03.13"
