ul.	27 Grudnia	11
ul.	27 Grudnia	12
ul.	27 Grudnia	13
ul.	27 Grudnia	14
ul.	27 Grudnia	15
ul.	27 Grudnia	17/19
ul.	27 Grudnia	19
ul.	27 Grudnia	21
ul.	27 Grudnia	3
ul.	27 Grudnia	4
ul.	27 Grudnia	5
ul.	27 Grudnia	6
ul.	27 Grudnia	7
ul.	27 Grudnia	8/10
ul.	27 Grudnia	9
ul.	27 Grudnia	9A
ul.	28 Czerwca 1956 r.	113
ul.	28 Czerwca 1956 r.	113a
ul.	28 Czerwca 1956 r.	115
ul.	28 Czerwca 1956 r.	117
ul.	28 Czerwca 1956 r.	119
ul.	28 Czerwca 1956 r.	121
ul.	28 Czerwca 1956 r.	122
ul.	28 Czerwca 1956 r.	122a
ul.	28 Czerwca 1956 r.	123
ul.	28 Czerwca 1956 r.	124
ul.	28 Czerwca 1956 r.	124A
ul.	28 Czerwca 1956 r.	124B
ul.	28 Czerwca 1956 r.	124C
ul.	28 Czerwca 1956 r.	124D
ul.	28 Czerwca 1956 r.	124E
ul.	28 Czerwca 1956 r.	124F
ul.	28 Czerwca 1956 r.	125
ul.	28 Czerwca 1956 r.	126
ul.	28 Czerwca 1956 r.	128
ul.	28 Czerwca 1956 r.	129
ul.	28 Czerwca 1956 r.	129a
ul.	28 Czerwca 1956 r.	130
ul.	28 Czerwca 1956 r.	131
ul.	28 Czerwca 1956 r.	132
ul.	28 Czerwca 1956 r.	133
ul.	28 Czerwca 1956 r.	134
ul.	28 Czerwca 1956 r.	135
ul.	28 Czerwca 1956 r.	135/147
ul.	28 Czerwca 1956 r.	136
ul.	28 Czerwca 1956 r.	138/140
ul.	28 Czerwca 1956 r.	138/140a
ul.	28 Czerwca 1956 r.	138/140b
ul.	28 Czerwca 1956 r.	138/140c
ul.	28 Czerwca 1956 r.	140
ul.	28 Czerwca 1956 r.	142
ul.	28 Czerwca 1956 r.	142A
ul.	28 Czerwca 1956 r.	142B
ul.	28 Czerwca 1956 r.	144
ul.	28 Czerwca 1956 r.	146
ul.	28 Czerwca 1956 r.	148
ul.	28 Czerwca 1956 r.	149
ul.	28 Czerwca 1956 r.	149A
