"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"132","Bojerowa","PJ","G","39","1430","4210"
"133","Bolesławy","PN","G","13","263","1105"
"134","Bolka","PS","G","7","605","3201"
"135","Bolkowicka","PG","G","18","228","1556"
"136","Bonin","PJ","G","16","303","2883"
"137","Boranta","PS","G","8","531","4390"
"138","Borecka","PN","G","14","2352","6982"
"139","Borowa","PN","G","15","2289","7730"
"140","Borowikowa","PN","G","16","187","1032"
"141","Borówkowa","PS","F","536","53","184"
"142","Borsucza","PN","G","40","215","1360"
"143","Bortnowskiego Władysława","PS","G","464","91","742"
"144","Boruty","PG","G","19","59","284"
"145","Bosa","PG","G","20","473","1956"
"146","Bosmańska","PJ","F","41","177","818"
"147","Botaniczna","PJ","G","17","476","3222"
"148","Boya-Żeleńskiego Tadeusza","PJ","G","685","543","1973"
"149","Bożeny","PN","G","17","1454","8017"
"150","Bożydara","PS","G","9","847","2788"
"151","Bożymira","PS","G","10","234","1058"
"152","Bożywoja","PS","G","11","658","2503"
"153","Bóżnicza","PS","G","12","129","1649"
"154","Braille`a Ludwika","PS","G","13","103","515"
"155","Braille`a Ludwika","PS","F","523","155","969"
"156","Brandstaettera Romana","PS","G","589","168","897"
"157","Brandysa Kazimierza","PJ","F","404","95",
"158","Braniborska","PG","G","21","216","1818"
"159","Braniewska","PJ","G","42","446","3339"
"160","Braterstwa Broni aleja","PS","F","43","341"
"161","Bratkowa","PG","F","514","154","424"
"162","Bratumiły","PS","G","14","214","878"
"163","Brodnicka","PJ","G","18","105","451"
"164","Broniewskiego Stanisława","PJ","G","85","347"
"165","Bronisława","PS","G","15","1092","2833"
"166","Bronisza","PS","F","638","365","1481"
"167","Bronowa","PJ","G","19","69","268"
"168","Brossa Kazimierza","PG","G","44","239","1153"
"169","Bruzdowa","PN","G","679","203","983"
"170","Brylantowa","PS","F","518","137"
"171","Brzask","PG","G","22","451","3175"
"172","Brzeska","PN","G","18","196","859"
"173","Brzeźnicka","PG","F","45","125","485"
"174","Brzoskwiniowa","PN","G","19","350","992"
"175","Brzozowa","PW","G","12","824","3238"
"176","Brzóski Stanisława ks.","PW","G","13","71","185"
"177","Buczka Karola","PW","G","14","767","5885"
"178","Budzisława","PS","G","637","402","2008"
"179","Budziszyńska","PG","G","24","667","2628"
