"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"120","Mateckiego Teofila","PS","P","71071","995","6525"
"121","Matejki Jana","PG","P","72072","1159","10058"
"122","Matyi Stanisława","PS","P","137137","715","14783"
"123","Meteorytowa","PS","P","220","1601","9449"
"124","Minikowo","PN","P","74074","935","6899"
"125","Mogileńska","PN","P","75075","442","4039"
"126","Morasko","PS","P","233","3096","16960"
"127","Mostowa","PS","P","76076","482","6021"
"128","Mostowa","PS","G","99","659","5615"
"129","Murawa","PS","P","17017","1685","24463"
"130","Nad Wierzbakiem","PJ","P","77077","676","11716"
"131","Naramowicka","PS","P","78078","6690","45740"
"132","Nidziańska","PJ","G","154","105","728"
"133","Niepodległości aleja","PS","P","81081","2519","47031"
"134","Niestachowska","PJ","K","11003","1199","44631"
"135","Niezłomnych","PS","P","79079","39","586"
"136","Nowaka-Jeziorańskiego Jana rondo","PG","K","11007","79","9507"
"137","Nowina","PJ","P","80080","572","5148"
"138","Nowowiejskiego Feliksa","PS","G","103","220","2501"
"139","Obodrzycka","PN","P","82082","1341","9556"
"140","Obornicka","PS","K","11001","3040","35068"
"141","Opieńskiego Henryka","PS","P","487","616","8183"
"142","Opolska","PW","P","84084","2524","23909"
"143","Ostatnia","PG","G","179","297","1583"
"144","Ostrowska","PN","P","10010","4130","30255"
"145","Ożarowska","PN","P","86086","1525","11894"
"146","Pabianicka","PN","G","169","128","774"
"147","Palacza Macieja","PG","G","184","1873","12352"
"148","Pawłowicka","PJ","G","276","186","912"
"149","Piastowska","PW","P","87087","550","3585"
"150","Piaśnicka","PN","P","88088","1327","10892"
"151","Piątkowska","PS","P","89089","2046","22387"
"152","Piłsudskiego Józefa","PN","P","85085","1306","21029"
"153","Piotrowo","PN","G","173","337","2424"
"154","Piwna","PN","P","90090","159","1402"
"155","Podjazdowa","PJ","P","297","2194","9350"
"156","Podolańska","PJ","P","91091","643","5180"
"157","Podwale","PN","G","5004","475","8674"
"158","Pokrzywno","PN","P","92092","2600","17598"
"159","Polna","PJ","G","197","524","4900"
"160","Polska","PJ","P","93093","939","13410"
"161","Połabska","PS","P","94094","779","9653"
"162","Powstańców Wielkopolskich","PS","G","120","168","1702"
"163","Poznańska","PJ","P","95095","745","7991"
"164","Północna","PS","P","310","314","2259"
"165","Promienista","PG","P","96096","2529","30160"
"166","Prymasa Augusta Hlonda","PN","G","5002","998","26499"
"167","Prymasa Augusta Hlonda","PN","G","5003","744","18163"
"168","Prymasa Stefana Wyszyńskiego","PN","P","313","778","12279"
"169","Przemysłowa","PW","P","98098","1017","7211"
"170","Przepadek","PS","P","317","453","4022"
"171","Przybyszewskiego Stanisława","PJ","K","11005","659","18426"
"172","Przybyszewskiego Stanisława","PG","K","11006","768","15404"
"173","Psarskie","PJ","P","99099","653","3696"
"174","Pułaskiego Kazimierza","PS","P","100100","980","13617"
"175","Radojewo","PS","P","322","2014","13269"
"176","Rakoniewicka","PG","P","103103","409","5923"
"177","Ratajczaka Franciszka","PS","P","104104","479","6545"
"178","Rataje rondo","PN","K","11014","79","10686"
"179","Reymonta Władysława","PG","K","11008","1001","15292"
"180","Roosevelta Franklina","PG","P","105105","235","3722"
"181","Roosevelta Franklina","PJ","P","105105","935","26625"
"182","Santocka","PJ","P","108108","288","2568"
"183","Serbska","PS","P","110110","1674","31887"
"184","Sianowska","PJ","P","111111","1588","11669"
"185","Skalskiego Stanisława","PJ","P","97097","655","7712"
"186","Skórzewska","PG","P","362","648","4346"
"187","Słowiańska","PS","P","113113","2083","27852"
"188","Słupska","PJ","P","114114","4269","29083"
"189","Smoleńska","PS","P","5825","509","6981"
"190","Solidarności Aleje","PJ","P","110110","607","8632"
"191","Solidarności Aleje","PS","P","160160","1745","36436"
"192","Solidarności rondo","PS","P","159159","115","10471"
"193","Solna","PS","P","116116","669","15004"
"194","Spławie","PN","P","117117","2082","12977"
"195","Starołęcka","PN","P","119119","5874","45339"
"196","Starołęka rondo","PN","K","11012","79","18590"
"197","Stoińskiego Stefana","PS","P","500","533","7196"
"198","Stróżyńskiego Franciszka","PS","P","120120","2163","17663"
"199","Stróżyńskiego Franciszka","PS","F","88","157","1995"
"200","Strzelecka","PS","P","121121","192","5328"
